lake.name,n
ARBUTUS LAKE,410
AVALANCHE LAKE,317
BARNES LAKE,311
BIG HOPE POND,364
BIG MOOSE LAKE,378
BLACK POND,159
BLACK POND STREAM,361
BROOK TROUT LAKE,330
BUBB LAKE,14
BUBB LAKE STREAM,615
CARRY POND,284
CASCADE LAKE,343
CASCADE LAKE STREAM,349
CLEAR POND,390
CONSTABLE POND,16
CONSTABLE POND STREAM,698
DART LAKE,380
EAST COPPERAS POND,325
G LAKE,313
GRASS POND,615
HEART LAKE,393
INDIAN LAKE,336
JOCKEYBUSH LAKE,378
LAKE COLDEN,300
LAKE COLDON,13
LAKE RONDAXE,409
LIMEKILN LAKE,402
LITTLE CLEAR POND,352
LITTLE ECHO POND,384
LITTLE HOPE POND,310
LITTLE SIMON POND,319
LONG POND,304
LOON HOLLOW POND,306
LOST POND,248
MARCY DAM POND,304
MIDDLE BRANCH LAKE,299
MIDDLE POND,341
MIDDLE SETTLEMENT LAKE,315
MOSS LAKE,405
NATE POND,286
NORTH LAKE,376
OTTER LAKE,326
OTTER LAKE STREAM,362
OWEN POND,334
QUEER LAKE,342
RAQUETTE LAKE RESERVOIR,400
SAGAMORE LAKE,406
SOCHIA POND,302
SOUTH LAKE,350
SQUASH POND,16
SQUASH POND STREAM,663
SQUAW LAKE,326
SUNDAY POND,307
WEST POND,16
WEST POND STREAM,694
WILLIS LAKE,2
WILLIS LAKE ,292
WILLYS LAKE,320
WINDFALL POND,3
WINDFALL POND STREAM,594
WOODS LAKE,353
